X,Y,id,left,top,right,bottom,row_index,col_index
3.375,36.875,8650,3.375,36.875,3.5,37,73,67
3.5,42.25,8735,3.5,42.25,3.625,42.375,30,68
3.5,42.125,8736,3.5,42.125,3.625,42.25,31,68
3.5,42.0,8737,3.5,42,3.625,42.125,32,68
3.5,40.0,8753,3.5,40,3.625,40.125,48,68
3.5,39.875,8754,3.5,39.875,3.625,40,49,68
3.5,39.75,8755,3.5,39.75,3.625,39.875,50,68
3.5,39.625,8756,3.5,39.625,3.625,39.75,51,68
3.5,39.5,8757,3.5,39.5,3.625,39.625,52,68
3.5,39.375,8758,3.5,39.375,3.625,39.5,53,68
3.5,37.0,8777,3.5,37,3.625,37.125,72,68
3.5,36.875,8778,3.5,36.875,3.625,37,73,68
3.625,40.125,8880,3.625,40.125,3.75,40.25,47,69
3.625,40.0,8881,3.625,40,3.75,40.125,48,69
3.625,39.875,8882,3.625,39.875,3.75,40,49,69
3.625,39.75,8883,3.625,39.75,3.75,39.875,50,69
3.625,39.625,8884,3.625,39.625,3.75,39.75,51,69
